"lake_id","visit","algal_group","phylum","class","order","family","genus","density","density_units"
291,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",63000,"cells_ml"
291,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","GLAUCOSPIRA",750,"cells_ml"
291,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MICROCYSTACEAE","GLOEOCAPSA",1500,"cells_ml"
291,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","LIMNOTHRIX",2000,"cells_ml"
291,1,"DINOFLAGELLATES",NA,NA,NA,NA,NA,500,"cells_ml"
291,1,"DIATOMS",NA,NA,NA,NA,NA,250,"cells_ml"
297,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","APHANIZOMENON",21250,"cells_ml"
297,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PLANKTOLYNGBYA",18000,"cells_ml"
297,1,"DIATOMS",NA,NA,NA,NA,NA,500,"cells_ml"
317,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","ANABAENOPSIS",2000,"cells_ml"
317,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","GLAUCOSPIRA",1000,"cells_ml"
317,1,"GREEN ALGAE",NA,NA,NA,NA,NA,8500,"cells_ml"
296,1,"CYANOBACTERIA","CYANOBACTERIA","CYANOPHYCEAE","NOSTOCALES","APHANIZOMENONACEAE","CUSPIDOTHRIX",40500,"cells_ml"
296,1,"DINOFLAGELLATES",NA,NA,NA,NA,NA,3000,"cells_ml"
296,1,"DIATOMS",NA,NA,NA,NA,NA,2500,"cells_ml"
296,1,"GREEN ALGAE",NA,NA,NA,NA,NA,500,"cells_ml"
67,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","APHANIZOMENON",60000,"cells_ml"
67,1,"DINOFLAGELLATES",NA,NA,NA,NA,NA,500,"cells_ml"
67,1,"DIATOMS",NA,NA,NA,NA,NA,1000,"cells_ml"
67,1,"GREEN ALGAE",NA,NA,NA,NA,NA,1000,"cells_ml"
76,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","LIMNOTHRIX",9100,"cells_ml"
76,1,"CYANOBACTERIA",NA,NA,NA,NA,"picocyanobacteria",1050,"cells_ml"
316,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MERISMOPEDIACEAE","MERISMOPEDIA",12000,"cells_ml"
316,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",30000,"cells_ml"
316,1,"DIATOMS",NA,NA,NA,NA,NA,4750,"cells_ml"
316,1,"GREEN ALGAE",NA,NA,NA,NA,NA,1000,"cells_ml"
288,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","ANABAENA",2500,"cells_ml"
288,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",26250,"cells_ml"
288,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MERISMOPEDIACEAE","MERISMOPEDIA",21000,"cells_ml"
288,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",263500,"cells_ml"
119,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","APHANIZOMENON",19125,"cells_ml"
119,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",14125,"cells_ml"
119,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PLANKTOLYNGBYA",1750,"cells_ml"
119,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PSEUDANABAENA",1500,"cells_ml"
119,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",3875,"cells_ml"
119,1,"GREEN ALGAE",NA,NA,NA,NA,NA,125,"cells_ml"
137,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","APHANIZOMENON",29250,"cells_ml"
137,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",4000,"cells_ml"
137,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MERISMOPEDIACEAE","MERISMOPEDIA",3750,"cells_ml"
137,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PLANKTOLYNGBYA",2500,"cells_ml"
137,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PSEUDANABAENA",3500,"cells_ml"
137,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",4125,"cells_ml"
137,1,"DINOFLAGELLATES",NA,NA,NA,NA,NA,125,"cells_ml"
16,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","CHROOCOCCACEAE","APHANOCAPSA",3500,"cells_ml"
16,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",24333.35,"cells_ml"
16,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","LIMNOTHRIX",7333.33,"cells_ml"
16,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","OSCILLATORIACEAE","LYNGBYA",3583.33,"cells_ml"
16,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",9333.35,"cells_ml"
16,1,"CYANOBACTERIA",NA,NA,NA,NA,"thin filament < 2um",666.7,"cells_ml"
298,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","ANABAENA",500,"cells_ml"
298,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","APHANIZOMENON",1250,"cells_ml"
298,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","CHROOCOCCACEAE","COELOSPHAERIUM",500,"cells_ml"
298,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","LEPTOLYNGBYA",1000,"cells_ml"
298,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PSEUDANABAENA",500,"cells_ml"
298,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","ROMERIA",500,"cells_ml"
298,1,"DIATOMS",NA,NA,NA,NA,NA,1000,"cells_ml"
326,1,"16583",NA,NA,NA,NA,NA,16583,"cells_ml"
326,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",6333.3,"cells_ml"
326,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MICROCYSTACEAE","MICROCYSTIS",500,"cells_ml"
326,1,"CYANOBACTERIA",NA,NA,NA,NA,"thin filament < 2um",500,"cells_ml"
327,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","CHROOCOCCACEAE","APHANOCAPSA",1000,"cells_ml"
327,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MERISMOPEDIACEAE","MERISMOPEDIA",500,"cells_ml"
327,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PHORMIDIACEAE","PHORMIDIUM",250,"cells_ml"
327,1,"CYANOBACTERIA",NA,NA,NA,NA,"picocyanobacteria",500,"cells_ml"
327,1,"DIATOMS",NA,NA,NA,NA,NA,500,"cells_ml"
327,1,"GOLDEN ALGAE",NA,NA,NA,NA,NA,500,"cells_ml"
147,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",342000,"cells_ml"
147,1,"GREEN ALGAE",NA,NA,NA,NA,NA,750,"cells_ml"
82,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","APHANIZOMENON",24250,"cells_ml"
82,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",29750,"cells_ml"
82,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PHORMIDIACEAE","PLANKTOTHRIX",6000,"cells_ml"
82,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",6250,"cells_ml"
82,1,"DIATOMS",NA,NA,NA,NA,NA,7750,"cells_ml"
155,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",750,"cells_ml"
155,1,"DINOFLAGELLATES",NA,NA,NA,NA,NA,2000,"cells_ml"
232,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","CHROOCOCCACEAE","APHANOCAPSA",4250,"cells_ml"
232,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",57000,"cells_ml"
232,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",4000,"cells_ml"
232,1,"DIATOMS",NA,NA,NA,NA,NA,500,"cells_ml"
232,1,"GREEN ALGAE",NA,NA,NA,NA,NA,1000,"cells_ml"
167,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",12600,"cells_ml"
167,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MERISMOPEDIACEAE","MERISMOPEDIA",4800,"cells_ml"
167,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PLANKTOLYNGBYA",12200,"cells_ml"
167,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PSEUDANABAENA",30200,"cells_ml"
167,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",5800,"cells_ml"
167,1,"DIATOMS",NA,NA,NA,NA,NA,800,"cells_ml"
148,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PLANKTOLYNGBYA",2000,"cells_ml"
148,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PSEUDANABAENA",3400,"cells_ml"
148,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",10800,"cells_ml"
148,1,"DIATOMS",NA,NA,NA,NA,NA,16800,"cells_ml"
148,1,"GREEN ALGAE",NA,NA,NA,NA,NA,19400,"cells_ml"
66,1,"GREEN ALGAE",NA,NA,NA,NA,NA,60,"cells_ml"
55,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MERISMOPEDIACEAE","WORONICHINIA",80,"cells_ml"
55,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MICROCYSTACEAE","GLOEOCAPSA",20,"cells_ml"
55,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PLANKTOLYNGBYA",40,"cells_ml"
55,1,"CYANOBACTERIA",NA,NA,NA,NA,"picocyanobacteria",80,"cells_ml"
55,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MERISMOPEDIACEAE","WORONICHINIA",40,"cells_ml"
55,1,"DINOFLAGELLATES",NA,NA,NA,NA,NA,40,"cells_ml"
55,1,"GOLDEN ALGAE",NA,NA,NA,NA,NA,100,"cells_ml"
55,1,"EUGLENOIDS",NA,NA,NA,NA,NA,80,"cells_ml"
55,1,"GREEN ALGAE",NA,NA,NA,NA,NA,80,"cells_ml"
51,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MICROCYSTACEAE","GLOEOCAPSA",3200,"cells_ml"
51,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MERISMOPEDIACEAE","MERISMOPEDIA",1600,"cells_ml"
51,1,"CYANOBACTERIA",NA,NA,NA,NA,"picocyanobacteria",1040,"cells_ml"
51,1,"GOLDEN ALGAE",NA,NA,NA,NA,NA,80,"cells_ml"
51,1,"DIATOMS",NA,NA,NA,NA,NA,600,"cells_ml"
51,1,"GREEN ALGAE",NA,NA,NA,NA,NA,440,"cells_ml"
159,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","SYNECHOCOCCALES","MERISMOPEDIACEAE","EUCAPSIS",120,"cells_ml"
159,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","SIRENICAPILLARIACEAE","LIMNORAPHIS",80,"cells_ml"
264,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",3428.544,"cells_ml"
264,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MICROCYSTACEAE","MICROCYSTIS",857.136,"cells_ml"
264,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PHORMIDIACEAE","PLANKTOTHRIX",19071.276,"cells_ml"
10,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MICROCYSTACEAE","GLOEOCAPSA",220,"cells_ml"
10,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PLANKTOLYNGBYA",2100,"cells_ml"
10,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","SPIRULINALES","SPIRULINACEAE","SPIRULINA",80,"cells_ml"
146,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","APHANIZOMENON",199.998,"cells_ml"
146,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",166.665,"cells_ml"
146,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PLANKTOLYNGBYA",266.664,"cells_ml"
146,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PHORMIDIACEAE","PLANKTOTHRIX",566.661,"cells_ml"
146,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",133.332,"cells_ml"
146,1,"CYANOBACTERIA",NA,NA,NA,NA,"picocyanobacteria",633,"cells_ml"
146,1,"DINOFLAGELLATES",NA,NA,NA,NA,NA,99.999,"cells_ml"
146,1,"DIATOMS",NA,NA,NA,NA,NA,133.332,"cells_ml"
146,1,"GREEN ALGAE",NA,NA,NA,NA,NA,299.997,"cells_ml"
2,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",666.6668,"cells_ml"
2,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","SYNECHOCCALES","SYNECHOCOCCACEAE","LEMMARMANIELLA",500.0001,"cells_ml"
2,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MERISMOPEDIACEAE","MERISMOPEDIA",666.6668,"cells_ml"
2,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MICROCYSTACEAE","MICROCYSTIS",500.0001,"cells_ml"
2,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PLANKTOLYNGBYA",500.0001,"cells_ml"
2,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PSEUDANABAENA",1000.0002,"cells_ml"
2,1,"CYANOBACTERIA",NA,NA,NA,NA,"thin filament < 2um",500.0001,"cells_ml"
2,1,"DIATOMS",NA,NA,NA,NA,NA,3833.3341,"cells_ml"
2,1,"GREEN ALGAE",NA,NA,NA,NA,NA,2000.0004,"cells_ml"
84,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","ANABAENA",300,"cells_ml"
84,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",2600,"cells_ml"
84,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","GEITLERINEMATALES","GEITLERINEMATACEAE","GEITLERINEMA",100,"cells_ml"
84,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PLANKTOLYNGBYA",2400,"cells_ml"
84,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",900,"cells_ml"
84,1,"DIATOMS",NA,NA,NA,NA,NA,600,"cells_ml"
84,1,"GREEN ALGAE",NA,NA,NA,NA,NA,300,"cells_ml"
77,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","LEPTOLYNGBYA",100,"cells_ml"
77,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PSEUDANABAENA",250,"cells_ml"
76,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",700,"cells_ml"
3,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",200,"cells_ml"
3,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MICROCYSTACEAE","GLOEOCAPSA",800,"cells_ml"
3,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MERISMOPEDIACEAE","MERISMOPEDIA",3100,"cells_ml"
3,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PSEUDANABAENA",39600,"cells_ml"
3,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","RAPHIDIOPSIS",6200,"cells_ml"
11,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","CHROOCOCCALES","MICROCYSTACEAE","GLOEOCAPSA",120,"cells_ml"
11,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PSEUDANABAENACEAE","PLANKTOLYNGBYA",240,"cells_ml"
11,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","PHORMIDIACEAE","PLANKTOTHRIX",160,"cells_ml"
328,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","APHANIZOMENON",1000,"cells_ml"
328,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","NOSTOCALES","NOSTOCACEAE","DOLICHOSPERMUM",150,"cells_ml"
328,1,"CYANOBACTERIA","CYANOPHYTA","CYANOPHYCEAE","OSCILLATORIALES","OSCILLATORIACEAE","OSCILLATORIA",250,"cells_ml"
328,1,"GOLDEN ALGAE",NA,NA,NA,NA,NA,1300,"cells_ml"
